,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000005108.15_THSD7A,15,27,5,12,0,0,1,0,1,0,0,0
ENSG00000005156.11_LIG3,1159.21,1439.56,1951.42,1424.4,2517.09,2099.45,2345.39,1963.97,2739.44,2428.63,2088.68,2539.93
ENSG00000005175.9_RPAP3,1421,1635,1729,1776,1546,1558,1526,1306,2511,1745,1712,1783
ENSG00000005187.11_ACSM3,23.15,23.46,34.09,24.03,66.99,46.52,35.42,34.4,42.41,19.98,22.47,31.26
ENSG00000005189.19_AC004381.6,63,96,67,90,656,444,584,548.23,417,348,366,584
ENSG00000005194.14_CIAPIN1,1438,1656,2146,1637,4707,2906,3177,2673,3707,3248,3080,4632
ENSG00000005206.16_SPPL2B,218.55,338,721,346,707,408,789,553,493,368,360,341
ENSG00000005238.19_FAM214B,1394,1828,2717,1778,2256,1691,1653,1359,2499,2201,2140,2305
ENSG00000005243.9_COPZ2,555,574,558,451,169,101,94,90,72,41,57,103
ENSG00000005249.12_PRKAR2B,138,197,108,161,54,47,51,43,35,34,47,54
ENSG00000005302.17_MSL3,8019,9168,10408,9063,919,817,910,819,1051,923,865,1023
ENSG00000005339.12_CREBBP,2511,3285,5690,3739,1896,1772,2550,2001,2102,2004,1675,1716
ENSG00000005379.15_BZRAP1,0,2,0,0,31,12,32,26,21,8,12,12
ENSG00000005381.7_MPO,0,0,0,0,0,0,0,0,3,3,1,2
ENSG00000005421.8_PON1,0,0,2,3,1,0,0,1,0,0,0,0
ENSG00000005436.13_GCFC2,556,564,504,492,1012,911,769,704,1560,1184,932,1049
ENSG00000005448.16_WDR54,246,289,385,265,1056,578,720,621,430,365,376,603
ENSG00000005469.11_CROT,2876,3330,10408,10361,1228,878,776,731,646,473,572,794
ENSG00000005471.15_ABCB4,484,460,786,665,4,0,4,0,1,0,0,0
ENSG00000005483.19_KMT2E,2714,3595,5680,5123,2300,2711,3171,2708,2579,2246,2117,1845
ENSG00000005486.16_RHBDD2,888,1061,1279,673,1975,1195,1480,957,1587,1572,1446,1655
ENSG00000005513.9_SOX8,9,15,0,2,1,0,0,0,0,0,0,0
ENSG00000005700.14_IBTK,3310,4152,4256,4092,4573,3535,3343,3125,4291,3304,3444,4359
ENSG00000005801.16_ZNF195,680,784,946,934,736,607,597,591,886,586,551,722
ENSG00000005810.17_MYCBP2,2333,3222,3790,3455,3126,2763,2989,2590,2874,2335,2595,3288
ENSG00000005812.10_FBXL3,1784.16,2000.44,2080.24,2030.06,1168.58,1111.19,1173.46,1022.47,1551.63,1186.56,1248.26,1409.59
ENSG00000005844.17_ITGAL,0,1,3,0,12,11,10,9,9,4,5,5
ENSG00000005882.11_PDK2,265.9,276,746.7,448.19,1218.77,1031.76,1345,955.75,623,599.27,585,565
ENSG00000005884.17_ITGA3,60209,78611,67438,38853,43256,31663,39215,28792,35747,32255,32576,33320
ENSG00000005889.15_ZFX,2973,3707,5175,4990,1242,1027,1226,1104,1179,977,1008,1291
ENSG00000005893.15_LAMP2,6858,7481,7407,6652,6487,4811,5462,4643,4188,3546,3622,5002
ENSG00000005961.17_ITGA2B,1,9,0,2,42,28,25,25,5,1,0,3
ENSG00000005981.12_ASB4,0,0,0,0,2,5,0,0,3,0,3,1
ENSG00000006007.11_GDE1,2755,3037,4269,3625,5822,5101,5552,4661,4543,4102,4324,4904
ENSG00000006015.17_C19orf60,125,130,223,117,275,164,250,214,243,179,171,189
ENSG00000006016.10_CRLF1,49.59,46.4,39.43,30.07,125.86,67.3,102.62,80.5,87.5,81.08,74.26,77.95
ENSG00000006025.11_OSBPL7,228,391,577,351,262,178,436,311,227,183,140,246
ENSG00000006042.11_TMEM98,3763,3880,4329,3345,321,217,245,202,191,142,129,163
ENSG00000006047.12_YBX2,0,0,3,1,20,13,45,17,30,14,16,9
ENSG00000006059.3_KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062.13_MAP3K14,450,621,516,332,1546,1099,1751,1397,1908,1686,2020,2343
ENSG00000006071.11_ABCC8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006116.3_CACNG3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006118.14_TMEM132A,1610,2151,3900,1892,758,372,394,281,697,579,509,574
ENSG00000006125.16_AP2B1,13713,15930,17210,14643,21366,16255,20069,17193,14560,13135,14560,19338
ENSG00000006128.11_TAC1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006194.9_ZNF263,1138.96,1466.19,1991.11,1437.88,1101.72,739.66,781.74,744.98,934.22,779.44,720.67,789.13
ENSG00000006210.6_CX3CL1,11,21,1,3,0,0,0,0,0,0,1,0
ENSG00000006282.19_SPATA20,1887,2483,2788,1691,2186,1246,1592,1198,1239,984,920,1218
ENSG00000006283.17_CACNA1G,24,40,14,17,13,18,15,5,0,0,5,9
ENSG00000006327.13_TNFRSF12A,9126,12285,9525,5279,3960,2275,1924,1548,4893,4064,3481,5017
ENSG00000006377.10_DLX6,2,6,1,2,8,11,6,7,1,9,7,2
ENSG00000006432.15_MAP3K9,2055,2696,2058,1566,2647,2075,2052,1798,2608,2254,2205,2778
ENSG00000006451.7_RALA,3687,4038,3602,3489,2220,1913,1725,1504,3643,2714,2520,2616
ENSG00000006453.13_BAIAP2L1,874.95,1114.81,1545.45,1229.96,2989.57,2263.86,2391.65,2119.99,3886.45,3565.58,2949.51,3468.21
ENSG00000006459.10_KDM7A,493,615,395,326,580,460,423,440,695,547,465,574
ENSG00000006468.13_ETV1,105,117,73,85,612,564,601,554,282,256,271,261
ENSG00000006530.15_AGK,955,1158,1181,1105,2301,2034,2020,1645,3440,2864,2513,3094
ENSG00000006534.15_ALDH3B1,1330,1557,1013,579,2199,1406,1459,1024,1216,1118,1096,1254
ENSG00000006555.10_TTC22,5,1,23,19,141,141,108,70,228,235,149,141
ENSG00000006576.16_PHTF2,1641,1864,1503,1442,1397,1263,1511,1275,1776,1446,1324,1624
ENSG00000006606.8_CCL26,23,30,101,71,28,14,11,13,26,12,16,32
ENSG00000006607.13_FARP2,1639.22,2118.71,1370.34,1224.45,1183.65,921.65,1010.14,839.77,961.31,863.7,922.33,1186.72
ENSG00000006611.15_USH1C,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006625.17_GGCT,877,977.19,823,831,2474.05,1906.08,1638.89,1502,3445.38,2568,2262,2966.03
ENSG00000006634.7_DBF4,406,527,738,682,1833,1780,1854,1724,2261,1814,1608,1819
ENSG00000006638.11_TBXA2R,8,6,11,3,18,20,24,12,27,37,19,26
ENSG00000006652.13_IFRD1,891,1053,1303,1212,2446,1967,2087,1700,4923,3428,2611,3328
ENSG00000006659.12_LGALS14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006695.10_COX10,541,563,577,431,783.3,785,807.61,681.82,1056,1000,898,975.42
ENSG00000006704.10_GTF2IRD1,1448,2060,2440,1495,3367,2003,2593,2034,2293,2043,1945,2149
ENSG00000006712.14_PAF1,3057,3748,4739,3551,3472,2814,3878,3096,3787,3321,3006,2674
ENSG00000006715.15_VPS41,3633,4148,2852,2627,3014,2611,2106,1740,2975,2339,2134,2588
ENSG00000006740.16_ARHGAP44,6,4,23,3,237,178,203,218,121,90,93,104
ENSG00000006744.18_ELAC2,2291,2828,3821,2584,8442,5656,6424,5526,7786,7261,6654,8614
ENSG00000006747.14_SCIN,4,10,20,12,8,14,7,6,11,10,9,9
ENSG00000006756.15_ARSD,3826,4623,4650,3502,1288,915,879,660,860,797,712,968
ENSG00000006757.11_PNPLA4,1177,1444,1680,1400,2008,1609,1536,1195,1798,1599,1429,1581
ENSG00000006788.12_MYH13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006831.9_ADIPOR2,2557,3171,3808,3223,3386,2425,2781,2390,3723,3077,2819,3899
