,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000149532.15_CPSF7,2619,3244,4967,3840,2514,2329,3678,2965,2666,2557,2335,2505
ENSG00000149534.8_MS4A2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149541.9_B3GAT3,428,538,666,378,1032,551,696,454,651,540,526,573
ENSG00000149547.14_EI24,5222,5058,5480,4590,7284,5801,5667,4744,6341,5685,5249,7072
ENSG00000149548.14_CCDC15,45,69,75,96,132,149,131,121,303,194,202,177
ENSG00000149554.12_CHEK1,819,995,1108,1213,1270,1059,1178,984,1248,1003,1037,1386
ENSG00000149557.12_FEZ1,789,902,1196,1016,311,219,224,182,143,124,92,144
ENSG00000149564.11_ESAM,5,9,48,28,6,4,11,7,2,9,4,4
ENSG00000149571.10_KIRREL3,433,604,1287,704,7,5,5,4,3,4,1,5
ENSG00000149573.8_MPZL2,46,51,33,40,386,360,97,71,2435,1924,1591,1644
ENSG00000149575.5_SCN2B,0,0,2,5,0,0,0,0,0,1,0,0
ENSG00000149577.15_SIDT2,502,709,765,448,717,502,736,597,289,315,304,394
ENSG00000149582.15_TMEM25,341,465,1070,649,394,229,276,218,244,248,188,243
ENSG00000149591.16_TAGLN,66447.49,79723.68,50241.96,30162.64,3057.5,2162.01,2255.94,1553.45,4121.37,3378.27,3956.36,4582.21
ENSG00000149596.6_JPH2,1865,2185,2056,1342,1244,637,764,588,625,544,542,796
ENSG00000149599.15_DUSP15,0,0,1,0,5,0,1,2,2,0,1,0
ENSG00000149600.11_COMMD7,1710,1750,1787,1489,1035,907,1024,856,1659,1530,1247,1306
ENSG00000149609.5_C20orf144,4,6,14,6,14,8,16,20,13,12,10,12
ENSG00000149633.11_KIAA1755,13,24,13,4,8,9,6,3,11,6,10,7
ENSG00000149634.4_SPATA25,2,4,31,15,19,4,16,23,10,11,5,11
ENSG00000149635.2_OCSTAMP,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149636.15_DSN1,321,308,574,601,2069,1579,1734,1514,2358,1582,1686,2420
ENSG00000149639.14_SOGA1,2372,3437,6992,4999,6900,6392,9331,7503,5985,5425,5267,5676
ENSG00000149646.12_CNBD2,13.51,27.3,22.3,23.87,55.99,31.59,43.23,34.76,56.15,32.95,30.11,59.62
ENSG00000149651.3_SPINT4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149654.9_CDH22,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000149656.8_LINC00266-1,0,0,3,2,1,0,0,2,0,0,2,1
ENSG00000149657.19_LSM14B,634,911,1206,766,1765,1103,1436,1066,1606,1497,1188,1392
ENSG00000149658.17_YTHDF1,1857,2238,2572,1934,3760,2882,3492,2805,3569,3328,2927,3457
ENSG00000149679.11_CABLES2,258,303,424,337,703,608,824,632,587,595,441,460
ENSG00000149716.12_ORAOV1,483,589.04,983.51,707.04,636.22,416.01,509.06,443.09,662.05,544,455.02,662.02
ENSG00000149735.6_GPHA2,0,2,0,0,0,0,0,0,2,0,0,0
ENSG00000149742.9_SLC22A9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149743.13_TRPT1,327,346,595.73,350,458,236,304,213,271,244,205,299
ENSG00000149761.8_NUDT22,258.04,318.23,496.42,242.03,873,441,438.49,300,572,447,436,523
ENSG00000149781.12_FERMT3,3,5,9,14,11,5,18,10,21,9,8,14
ENSG00000149782.11_PLCB3,1197,1713,2239,1277,2462,1681,2198,1658,1799,1642,1721,1793
ENSG00000149792.8_MRPL49,2320,2694,3606,2468,3240,2439,2463,2202,3235,2954,2874,3361
ENSG00000149798.4_CDC42EP2,736,921,1121,613,783,540,681,491,761,696,703,621
ENSG00000149806.10_FAU,3947,4039,3702,1995,10645,5311,4794,3399,7442,6244,5233,6687
ENSG00000149809.14_TM7SF2,159,204,507,266,322,175,217,139,189,174,155,176
ENSG00000149823.7_VPS51,721,799,1049,477,970,557,545,391,691,552,521,531
ENSG00000149922.10_TBX6,0,0,7,4,47,41,74,34,66,75,57,28
ENSG00000149923.13_PPP4C,2278,2593,3293,1980,4683,2607,2894,2249,3475,3186,2951,4254
ENSG00000149925.16_ALDOA,18395,23389,24842,13786,64559,38324,58933,41792,47459,47752,42642,50583
ENSG00000149926.13_FAM57B,3,4,4,0,7,6,2,8,6,0,0,1
ENSG00000149927.17_DOC2A,4.97,13.12,10.45,9.61,299.57,208.19,472.05,376.26,243.51,188.47,145.56,175.52
ENSG00000149929.15_HIRIP3,359.72,511,723.53,556.51,1242.45,853.58,1316.95,1014.86,873.86,804.94,790.82,906.5
ENSG00000149930.17_TAOK2,1688,2335,3103,1835,3686,2401,3148,2432,3259,2780,2615,2856
ENSG00000149932.16_TMEM219,1562,1594,2126,1411,2530,1518,1506,1254,935,917,954,1356
ENSG00000149948.13_HMGA2,1406,1642,632,695,698,589,559,474,1134,895,728,899
ENSG00000149968.11_MMP3,0,0,0,0,3,5,1,4,6,10,9,7
ENSG00000149970.14_CNKSR2,6,8,5,10,55,59,67,55,48,37,42,43
ENSG00000149972.10_CNTN5,35,71,135,105,0,0,0,0,0,0,0,0
ENSG00000150045.11_KLRF1,3,4,2,4,0,0,0,0,0,0,0,0
ENSG00000150048.10_CLEC1A,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000150051.13_MKX,10,8,24,27,4,0,1,2,0,0,0,0
ENSG00000150054.18_MPP7,80,80,43,44,24,28,6,7,45,42,15,15
ENSG00000150076.22_CCDC7,9,6,4,17,14,10,17,18,6,7,2,6
ENSG00000150093.18_ITGB1,92056,112489,80965,77589,31980,31032,32316,28352,30270,22811,24334,27041
ENSG00000150201.14_FXYD4,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000150244.11_TRIM48,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150261.3_OR8K1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150269.1_OR5M9,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150275.17_PCDH15,0,0,2,0,20,14,18,7,13,14,8,12
ENSG00000150281.6_CTF1,156,235,296,204,278,312,225,201,120,85,127,130
ENSG00000150316.11_CWC15,1609,1699,1512,1372,1283,1024,862,791,1569,1069,1052,1322
ENSG00000150337.13_FCGR1A,1,4,11,10,8,4,14.75,8,11,3,0,3
ENSG00000150347.14_ARID5B,4761,5942,7882,7033,1829,1730,2035,1510,938,856,823,909
ENSG00000150361.11_KLHL1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150394.13_CDH8,650,810,401,329,0,1,1,2,1,2,0,1
ENSG00000150401.14_DCUN1D2,383,471,781,699,547,437,784,730,591,451,396,505
ENSG00000150403.17_TMCO3,3011,3713,3902,3110,3665,2827,3558,2868,3241,2720,2783,3115
ENSG00000150433.9_TMEM218,205,205,210,216,282,213,274,273,191,187,197,206
ENSG00000150455.13_TIRAP,147,194,321,213,269,230,287,219,376,364,305,374
ENSG00000150456.10_N6AMT2,106,104,114,77,313,246,223,207,220,196,200,231
ENSG00000150457.8_LATS2,1355,1713,1841,1360,1444,1015,1322,985,1073,943,922,1128
ENSG00000150459.12_SAP18,3619,4206,4106,3395,3785,3076,3589,3018,4209,3703,3621,4592
ENSG00000150471.15_ADGRL3,1724,2214,3243,2867,51,50,28,25,14,11,17,12
ENSG00000150477.14_KIAA1328,134,164,177,200,110,121,129,128,110,107,110,102
ENSG00000150510.15_FAM124A,120,117,137,128,104,90,110,93,214,179,167,163
ENSG00000150526.11_MIA2,0,0,0,0,7.97,2.55,10,1.92,0,0,7,0
ENSG00000150527.16_CTAGE5,1045,1140,1389,1235,2019.16,1637.6,1636.39,1476.13,2185.56,1769.56,1692,2051.68
ENSG00000150540.13_HNMT,34,39,155,163,67,51,30,28,36,17,38,45
ENSG00000150551.10_LYPD1,7063.02,7731.64,11088.73,8582.48,93.15,126.7,132.4,123.18,25.28,42.16,58.76,27.52
ENSG00000150556.16_LYPD6B,543,584,775,638,14,20,2,12,55,49,17,23
ENSG00000150593.15_PDCD4,1943.38,2413,2754.33,2693.89,3261.79,2899.13,3338.92,2752.22,1922.93,1632.62,1809.41,1827.55
ENSG00000150594.6_ADRA2A,42,36,57,44,0,3,2,1,1,0,0,1
ENSG00000150625.16_GPM6A,40,40,25,16,0,0,4,0,0,3,3,1
ENSG00000150627.15_WDR17,37,54,40,20,168,156,170,143,168,109,99,118
ENSG00000150628.6_SPATA4,9,5,3,9,1,1,2,0,4,2,3,5
ENSG00000150630.3_VEGFC,644,622,912,828,413,504,406,307,615,556,584,567
ENSG00000150636.15_CCDC102B,13,16,27,19,94,71,115,74,49,38,38,33
ENSG00000150637.8_CD226,14,20,48,50,11,11,18,13,6,11,2,5
ENSG00000150656.14_CNDP1,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000150667.6_FSIP1,22,10,21,20,26,26,17,20,55,40,35,40
ENSG00000150672.16_DLG2,12,9,18,12,6,6,10,3,16,6,11,7
ENSG00000150676.12_CCDC83,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000150681.9_RGS18,0,1,0,3,0,0,0,0,1,0,0,0
ENSG00000150687.11_PRSS23,8295.07,9545.14,8089.54,6919.35,1192.62,792.27,951,773.89,1138.65,984.09,1189.73,1589.29
ENSG00000150712.10_MTMR12,1453,1602,1427,1231,1665,1444,1617,1360,1462,1237,1063,1416
ENSG00000150722.10_PPP1R1C,3,4,4,0,104,123,73,57,274,157,149,166
ENSG00000150750.6_C11orf53,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000150753.11_CCT5,10189,12213,11914,10275,32638,25575,32735,28548,27147,23202,22357,24843
ENSG00000150756.13_FAM173B,287,320,319,244,594,415,390,387,307,232,217,466
ENSG00000150760.12_DOCK1,3706,4856,4158,3211,3396,2602,3027,2417,1595,1286,1617,1877
ENSG00000150764.13_DIXDC1,842,1019,929,801,1376,1152,1237,1105,871,740,798,932
ENSG00000150768.15_DLAT,1504,1684,1722,1598,3276.98,2920,3207,2749,2939,2563,2535,3061
ENSG00000150773.10_PIH1D2,46,40,37,55,23.02,17,35,19,40,34,27,33
ENSG00000150776.17_C11orf57,1560.04,2016.98,1662.73,1573.03,1457.8,1412.01,1184.07,996.75,2058.49,1516.33,1377.15,1393.51
ENSG00000150779.11_TIMM8B,913.96,1057.02,991.27,732.97,1503.2,938.99,746.93,607.25,1647.51,1199.67,1043.85,1518.49
ENSG00000150782.11_IL18,1584,1674,1328,1375,3446,3340,2909,2409,2833,2534,2458,2383
ENSG00000150783.9_TEX12,0,2,1,0,1,0,5,0,0,4,0,0
ENSG00000150787.7_PTS,632,639,527,550,734,478,392,366,863,691,603,857
ENSG00000150867.13_PIP4K2A,1542,1791,1655,1374,652,556,725,641,656,633,545,624
ENSG00000150873.11_C2orf50,0,1,0,1,1,0,0,1,0,2,0,0
ENSG00000150893.10_FREM2,0,2,3,3,0,0,0,0,1,4,0,2
ENSG00000150907.6_FOXO1,2429,2800,1389,1282,1786,1644,2520,1943,808,672,752,773
ENSG00000150938.9_CRIM1,25797,31953,20399,16927,12992,9885,11089,9102,5862,4865,5356,7067
ENSG00000150961.14_SEC24D,6391,7725,8879,7238,2527,2098,2294,1932,1672,1521,1577,1963
ENSG00000150967.17_ABCB9,91.6,138.38,241.38,133.92,299.98,190.13,278.62,168.86,331.51,300.66,240.09,251
ENSG00000150977.10_RILPL2,397,466,569,411,509,330,377,291,376,271,254,331
ENSG00000150990.7_DHX37,711,958,1108,600,1937,1085,1295,923,1640,1350,1314,1409
ENSG00000150991.14_UBC,55916,60626,67655,53504,132144,72596,54654,47961,133234,99722,87082,150270
ENSG00000150995.17_ITPR1,334,483,418,342,536,397,398,372,393,337,248,338
ENSG00000151005.4_TKTL2,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000151006.7_PRSS53,23.32,32.29,76.1,47.74,106.53,56.53,183.32,159.76,129.01,102.04,81.65,76.13
ENSG00000151012.13_SLC7A11,674,752,1556,1767,1093,903,728,733,1293,917,847,1254
ENSG00000151014.5_CCRN4L,476,623,459,425,315,228,340,302,417,328,344,521
ENSG00000151023.16_ENKUR,13,9,8,6,5,1,3,6,1,4,2,2
ENSG00000151025.9_GPR158,0,1,1,0,3,4,0,2,0,1,0,0
ENSG00000151033.8_LYZL2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151062.14_CACNA2D4,0,1,0,0,2,0,0,0,0,0,0,3
ENSG00000151065.13_DCP1B,526,629,983,736,600,664,785,583,589,530,504,394
ENSG00000151067.20_CACNA1C,29,39,31,28,1,0,2,0,1,0,0,0
ENSG00000151079.7_KCNA6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151090.17_THRB,796,944,1986,1764,733,624,637,497,646,559,549,617
ENSG00000151092.16_NGLY1,1109,1223,1166,1102,909,824,702,643,1072,787,745,866
ENSG00000151093.7_OXSM,197,263,282,260,728,528,457,401,776,546,516,821
ENSG00000151116.16_UEVLD,1158,1378,1484,1573,1195,1033,902,805,1604,1092,1122,1374
ENSG00000151117.8_TMEM86A,113,150,115,80,56,40,30,24,42,38,21,42
ENSG00000151131.9_C12orf45,187,214,207,148,346,327,240,225,431,391,335,369
ENSG00000151135.9_TMEM263,3567,4132,4795.48,4902.62,2160,2108,2008.28,1733.37,1687,1340,1519,1788
ENSG00000151136.14_BTBD11,1665,2084,1766,1425,64,60,44,42,100,113,92,83
ENSG00000151148.13_UBE3B,1758,2297,2712,2082,1683,1241,1504,1223,1264,1154,1022,1302
ENSG00000151150.20_ANK3,2074,2401,3036,2679,577,548,404,351,626,528,362,412
ENSG00000151151.5_IPMK,274,303,441,488,560,565,597,499,772,591,520,559
ENSG00000151164.18_RAD9B,13,26,18,14,49,27,25,16,19,13,15,24
ENSG00000151176.7_PLBD2,4745,5696,7949,5512,2663,3082,3741,3065,2450,2419,2421,2079
ENSG00000151208.16_DLG5,3732,5094,5039,3351,13434,9087,11959,9448,5882,5538,4948,5644
ENSG00000151224.12_MAT1A,2,0,0,2,5,1,0,0,1,0,0,5
ENSG00000151229.12_SLC2A13,224,263,180,177,138,128,115,91,119,83,78,89
ENSG00000151233.10_GXYLT1,754,849,1059,1011,730,565,652,676,806,514,638,735
ENSG00000151239.13_TWF1,5569,5868,5722,6051,4652,4183,3279,2927,6923,4606,4476,5494
ENSG00000151240.15_DIP2C,979,1293,1410,946,251,157,236,174,70,58,43,53
ENSG00000151247.12_EIF4E,1987,2192,1889,1994,2761,2305,2034,1723,3474,2627,2392,3436
ENSG00000151276.23_MAGI1,1180,1437,1246,1064,360,329,349,341,292,225,257,269
ENSG00000151287.16_TEX30,311,279,288,305,500,444,456,460,994,786,741,1049
ENSG00000151292.17_CSNK1G3,2064,2325,1592,1613,1636,1527,1360,1211,2392,1558,1629,1864
ENSG00000151304.5_SRFBP1,853,916,569,515,705,731,500,459,1470,972,924,1001
ENSG00000151320.10_AKAP6,67,93,121,112,243,173,167,150,100,100,80,99
ENSG00000151322.18_NPAS3,151,134,200,169,21,8,4,2,1,1,4,2
ENSG00000151327.12_FAM177A1,2107,2421,1680,1570,1469,1463,1361,1145,1739,1412,1396,1555
ENSG00000151332.18_MBIP,648,731,861,821,504,595,567,466,740,532,446,508
ENSG00000151338.18_MIPOL1,248,243,198,205,533,472,406,413,726,518,509,629
ENSG00000151348.13_EXT2,3973,4617,5673,4503,4423,2738,2662,2415,2729,2603,2472,3816
ENSG00000151353.14_TMEM18,677,842,796,616,1334,951,1245,1026,1274,1081,962,1124
ENSG00000151360.9_ALLC,0,0,0,0,0,0,1,1,0,0,0,0
ENSG00000151364.15_KCTD14,9,8,43.3,28.83,123.87,93,140,143,152.93,122,128.09,225.59
ENSG00000151365.2_THRSP,0,0,0,3,0,0,1,2,0,2,0,0
ENSG00000151366.12_NDUFC2,3854,4417.6,4835.39,3141.67,1846.46,1629,1477,1084,1885.2,1534,1372.78,1449.85
ENSG00000151376.16_ME3,17,18,78,41,110,62,98,72,43,32,42,38
ENSG00000151379.3_MSGN1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151388.10_ADAMTS12,9202,11661,9790,8111,495,441,374,300,294,250,260,359
ENSG00000151413.16_NUBPL,340,449,352,399,716,551,464,447,481,493,469,584
ENSG00000151414.14_NEK7,3097,3420,4966,5030,2203,2054,1692,1597,2892,1971,1950,2655
ENSG00000151418.11_ATP6V1G3,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000151422.12_FER,2223,2765,1905,1750,1163,1087,1038,896,1206,896,1003,1144
ENSG00000151445.15_VIPAS39,1031,1321,1440,1172,1353,1131,1470,1193,1694,1473,1455,1490
ENSG00000151458.11_ANKRD50,2475,3146,2790,2533,1482,1199,1405,1374,1939,1718,1700,2126
ENSG00000151461.19_UPF2,1574,1941,2373,2213,2025,2066,1879,1565,2503,2054,1956,2005
ENSG00000151465.13_CDC123,2512,2832.71,2888,2412.73,2965.29,2564,3002,2473.74,3148,2879,2612,2742
ENSG00000151466.11_SCLT1,338.98,426,611.99,695,621.99,587,584.99,520,668.98,486.99,478.99,505
ENSG00000151468.10_CCDC3,1,2,1,8,3,3,1,1,1,0,2,2
ENSG00000151470.12_C4orf33,388.02,419,431.01,444,278.01,296,187.01,168,362.02,223.01,214.01,234
ENSG00000151474.19_FRMD4A,3138,3871,4224,3283,218,206,307,294,243,215,170,183
ENSG00000151475.5_SLC25A31,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151490.13_PTPRO,0,0,0,1,12,11,13,2,4,4,9,8
ENSG00000151491.12_EPS8,1651,1833,2251,2015,2521,2227,2413,2133,1692,1443,1704,1942
ENSG00000151498.11_ACAD8,538,628,727,552,969,537,821,681,449,372,373,712
ENSG00000151500.14_THYN1,971,999,939,803,1141,985,1050,881,704,575,623,775
ENSG00000151502.10_VPS26B,1584.59,1950.6,2110.85,1475,2301.52,1579.59,1808.83,1571.54,1751.44,1620.75,1601.55,2028.34
ENSG00000151503.12_NCAPD3,968.41,1228.4,1425.15,1207.77,3014.36,2359.22,3351.66,2912.43,2745.24,2425.92,2233.15,2901.89
ENSG00000151532.13_VTI1A,717,807,1074,1043,1578,1227,1437,1193,1512,1434,1454,1516
ENSG00000151552.11_QDPR,1516,1634,1801,1336,1127,710,920,683,851,768,744,870
ENSG00000151553.14_FAM160B1,1099,1110,1240,1250,1412,1122,1365,1194,1048,802,725,1069
ENSG00000151572.16_ANO4,12,7,32,28,1,1,2,1,0,0,3,5
ENSG00000151575.14_TEX9,200.3,267.91,207.96,227.1,428.68,515.84,436.09,359.93,372.12,242.68,201.49,212.31
ENSG00000151576.10_QTRTD1,992,1201,942,937,1687,1403,1937,1665,2754,2310,1974,2241
ENSG00000151577.12_DRD3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151611.13_MMAA,287,387,281,264,246,194,200,197,206,211,152,191
ENSG00000151612.15_ZNF827,3610,4378,3173,2624,415,315,368,312,372,348,306,316
ENSG00000151615.3_POU4F2,0,1,0,1,0,0,0,0,0,0,0,0
ENSG00000151617.15_EDNRA,475,484,536,534,12,16,4,13,4,2,4,11
ENSG00000151623.14_NR3C2,3772,4384,5141,4708,10,8,8,9,5,3,10,6
ENSG00000151632.16_AKR1C2,4.05,5.05,1.33,2,5293.97,3714.77,5844.06,4974.81,1108.78,879.36,1645.85,2156.04
ENSG00000151640.12_DPYSL4,0,0,0,1,1,1,5,4,1,1,1,0
ENSG00000151650.7_VENTX,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151651.15_ADAM8,7,16,46,27,661,266,247,188,525,417,395,395
ENSG00000151655.17_ITIH2,0,0,2,2,0,0,2,0,0,0,0,0
ENSG00000151657.11_KIN,492,595,640,611,311,302,322,254,402,318,285,313
ENSG00000151665.12_PIGF,312.75,315.54,432.84,333.55,683.65,538.18,437.35,385.26,646.43,529.99,492.13,807.97
ENSG00000151687.14_ANKAR,30,58,50,46,47,43,48,49,65,39,27,28
ENSG00000151689.12_INPP1,1052,1236,1996,1861,815,803,823,720,654,594,593,691
ENSG00000151690.14_MFSD6,3077,3821,2693,2357,494,518,344,314,942,870,610,634
ENSG00000151692.14_RNF144A,315,303,397,293,302,242,301,277,125,90,128,159
ENSG00000151693.9_ASAP2,5695.94,7060.27,5494.85,4272.86,2569.41,2139.22,2614.39,2167.36,3654.44,2985.5,2789.48,2961.55
ENSG00000151694.12_ADAM17,3107.54,3367.99,3227.46,3018.18,1840.25,1583.21,1754.05,1500.07,1717.71,1614.38,1334.3,1671.43
ENSG00000151702.16_FLI1,2813,3457,2603,2167,179,196,96,98,397,317,385,385
ENSG00000151704.15_KCNJ1,0,0,3,0,0,0,0,0,1,2,1,0
ENSG00000151715.7_TMEM45B,15,28,52,26,25,16,1,0,16,17,20,20
ENSG00000151718.15_WWC2,5291.71,6535,6365,5675.7,1389.9,1178,1262,1276,1433,1251,1067.65,1331
ENSG00000151725.11_CENPU,465.83,476.59,441.37,473.72,860.82,752.09,763.18,743.04,1201.88,930.14,786.05,1010.5
ENSG00000151726.13_ACSL1,4866,5937,4093,3467,6280,4475,3940,3440,4157,3452,2661,3423
ENSG00000151729.10_SLC25A4,1939,2198,2129,1511,941,668,838,642,1020,817,797,871
ENSG00000151743.10_AMN1,305.62,429.06,434.39,376.13,177.93,169.92,125.92,122.63,397.23,237.18,195.46,253.99
ENSG00000151746.13_BICD1,1444,1794,1666,1292,649,579,873,652,670,638,648,671
ENSG00000151748.14_SAV1,1246.19,1469.04,2131.84,1933.85,2169.03,1862.84,1761.67,1632.25,1958.53,1573.02,1713.51,1958.25
ENSG00000151773.12_CCDC122,202,220,262,268,161,210,235,217,229,198,197,141
ENSG00000151778.10_SERP2,1,2,7,14,5,2,3,1,34,34,36,36
ENSG00000151779.12_NBAS,1636,1964,2350,2047,2037,1684,1487,1173,1331,1148,1089,1527
ENSG00000151789.9_ZNF385D,2,5,14,9,17,14,21,27,6,8,6,8
ENSG00000151790.8_TDO2,6,9,9,7,8,6,3,2,0,0,0,2
ENSG00000151806.13_GUF1,1099,1233,1167,1207,1964,1961,2071,1783,2133,1882,1754,1811
ENSG00000151812.14_SLC35F4,0,0,0,0,0,0,1,1,3,0,0,0
ENSG00000151834.15_GABRA2,0,0,2,0,148,90,32,19,116,87,55,118
ENSG00000151835.13_SACS,7548,9425,5789,5658,2368,2105,3623,3261,2573,2088,2070,2573
ENSG00000151838.11_CCDC175,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151846.8_PABPC3,1,1,0,2,5,1.87,0,3,5,2,2,4
ENSG00000151849.14_CENPJ,461,559,729,771,868,928,1237,1170,1344,997,1056,1156
ENSG00000151876.12_FBXO4,231,224,231,179,474,445,370,294,406,297,279,342
ENSG00000151881.14_C5orf28,173,224,240,229,804,562,470,404,803,485,446,785
ENSG00000151882.11_CCL28,31,55,54,59,7,7,0,0,29,30,22,14
ENSG00000151883.16_PARP8,1263,1495,1457,1230,585,483,386,361,702,516,430,455
ENSG00000151892.14_GFRA1,8638,10685,23783,19361,17,30,27,13,12,20,15,26
ENSG00000151893.14_CACUL1,2253,2410,2781,2619,2782,2499,2427,2030,2868,2384,2153,2727
ENSG00000151914.17_DST,8829,12174,14019,13637,15350,13833,14759,13033,12640,10375,10933,12935
ENSG00000151917.17_BEND6,281,328,320,306,212,228,236,234,186,135,121,165
ENSG00000151923.17_TIAL1,2020,2260,3443,3308,3108,2595,4008,3350,3151,2863,2496,3402
ENSG00000151929.9_BAG3,1775,2259,2418,1693,3472,2718,4131,3355,7349,6951,5974,5904
ENSG00000151948.11_GLT1D1,2,0,1,0,0,0,0,0,0,0,0,0
ENSG00000151952.14_TMEM132D,53,59,29,18,0,1,0,0,0,1,0,0
ENSG00000151962.7_RBM46,0,0,0,0,1,1,1,1,6,1,3,2
ENSG00000151967.18_SCHIP1,59.8,96.46,164.15,158.25,90.67,58.09,93.19,72.53,142.93,81.2,92.57,57.32
ENSG00000152034.10_MCHR2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152049.6_KCNE4,0,0,9,3,3,0,2,3,0,1,0,0
ENSG00000152056.16_AP1S3,557,719,580,559,543,542,596,464,1532,1258,955,1028
ENSG00000152061.21_RABGAP1L,3558,4074,5111,4623,1376,1294,1112,979,1650,1285,1391,1640
ENSG00000152076.18_CCDC74B,22,29.34,25.79,17.67,118.32,71.17,105.83,63.84,50.06,46.18,26.12,51.88
ENSG00000152078.9_TMEM56,808.28,913.42,719.58,711.71,372.88,305,350.02,284.72,228.95,133.14,198.98,246.99
ENSG00000152082.13_MZT2B,242.89,254.8,359.45,118.85,876.16,337.93,357.92,133.14,664.27,566.8,396.85,318.21
ENSG00000152086.8_TUBA3E,0,0,1,0,2,2,2,5.57,1,0,0,2
ENSG00000152092.15_ASTN1,191,218,398,271,0,1,1,5,3,0,3,1
ENSG00000152093.7_CFC1B,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152102.17_FAM168B,5226,6702,5647,4585,7645,5573,5908,5010,5306,4425,4135,5282
ENSG00000152104.11_PTPN14,4552,5524,4921,4233,4522,3586,4262,3672,3051,2601,2299,2943
ENSG00000152127.8_MGAT5,2964,3560,3209,2658,2397,1819,2129,1695,2287,2079,1873,2431
ENSG00000152128.13_TMEM163,174,205,149,118,2,0,2,1,1,0,1,0
ENSG00000152133.14_GPATCH11,522,510,459,536,1228,1248,1510,1292,1942,1512,1408,1322
ENSG00000152137.6_HSPB8,6397,7492,6969,5288,797,671,776,570,1060,899,782,1022
ENSG00000152147.10_GEMIN6,370,416,503,412,1463,1261,1109,1041,2171,1629,1406,1668
ENSG00000152154.10_TMEM178A,43,70,36,41,7,3,12,12,1,0,1,2
ENSG00000152192.7_POU4F1,1,0,3,0,6,3,2,4,7,9,10,3
ENSG00000152193.7_RNF219,1096,1196,1014,919,1136,1096,1121,915,2152,1454,1505,1565
ENSG00000152207.7_CYSLTR2,0,0,3,2,0,0,0,0,0,0,0,0
ENSG00000152208.11_GRID2,1,1,0,0,0,0,0,0,0,0,0,0
ENSG00000152213.3_ARL11,0,0,0,0,1,5,1,1,6,15,10,6
ENSG00000152214.12_RIT2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152217.16_SETBP1,336,520,1191,879,98,112,82,81,99,73,95,80
ENSG00000152219.4_ARL14EP,925,1025,851,921,530,409,384,317,613,396,406,530
ENSG00000152223.12_EPG5,2418,2964,4072,3283,1194,908,981,954,1302,1138,1144,1566
ENSG00000152229.18_PSTPIP2,570,604,1288,1097,1161,1095,1136,1050,1502,1304,1074,1027
ENSG00000152234.15_ATP5A1,13424,14374,14974,12714,19532,12272,12890,11095,13224,11772,11205,16887
ENSG00000152240.12_HAUS1,914,736,834,799,813,640,540,480,898,597,609,935
ENSG00000152242.10_C18orf25,2182,2534,1921,1781,1070,936,1168,996,1061,990,922,1173
ENSG00000152253.8_SPC25,237,219,295,360,648,575,795,692,654,515,480,582
ENSG00000152254.10_G6PC2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152256.13_PDK1,834,858,550,551,555,502,520,434,665,505,427,576
ENSG00000152266.6_PTH,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000152270.8_PDE3B,0,3,1,0,32,33,36,55,8,9,42,31
ENSG00000152284.4_TCF7L1,374,505,634,333,37,30,40,35,50,58,50,40
ENSG00000152291.13_TGOLN2,9818,12433,13676,10994,11415,9628,12026,10131,8446,7583,7645,8783
ENSG00000152292.16_SH2D6,8,7,10,5,2,2,1,1,0,0,3,2
ENSG00000152315.4_KCNK13,66,71,48,38,1,0,1,0,1,0,0,0
